champ_name,counter_name,championId,counterId,champ_kda,counter_kda,champ_lane kill rate,counter_lane kill rate,champ_kill participation,counter_kill participation,champ_dmgtochamp,counter_dmgtochamp,champ_first tower kill,counter_first tower kill,champ_win ratio,counter_win ratio,champ_position win rate,counter_position win rate,champ_position pick rate,counter_position pick rate,champ_ban rate,counter_ban rate
Darius,Cho'Gath,122,31,2.02,2.19,0.557,0.443,0.379,0.39,17776,15348,0 days 00:17:47,0 days 00:16:41,0.5064,0.4936,0.5073,0.5029,0.0449,0.01,0.1331,0.001
Poppy,Gwen,78,887,2.24,1.62,0.4832,0.5168,0.401,0.371,16388,18554,0 days 00:17:01,0 days 00:18:00,0.5328,0.4672,0.5177,0.5003,0.0274,0.0608,0.0383,0.2419
Mordekaiser,Sett,82,875,1.84,1.72,0.5341,0.4659,0.365,0.366,19165,17940,0 days 00:16:32,0 days 00:17:24,0.5102,0.4898,0.4973,0.5074,0.0419,0.1382,0.0158,0.1052
Vladimir,Maokai,8,57,1.99,2.41,0.5903,0.4097,0.37,0.372,20501,15346,0 days 00:18:33,0 days 00:17:24,0.4667,0.5333,0.498,0.5325,0.0342,0.0188,0.0247,0.0109
Yasuo,Poppy,157,78,1.36,2.69,0.3633,0.6367,0.343,0.416,15844,16055,0 days 00:17:23,0 days 00:16:53,0.4751,0.5249,0.482,0.5177,0.0091,0.0274,0.1139,0.0383
Nocturne,Malphite,56,54,2.14,2.49,0.449,0.551,0.407,0.403,14152,14243,0 days 00:18:20,0 days 00:16:29,0.5321,0.4679,0.5331,0.5058,0.0142,0.046,0.0231,0.1194
Zac,Yasuo,154,157,3.48,1.37,0.6513,0.3487,0.49,0.353,16983,20345,0 days 00:16:14,0 days 00:18:49,0.5294,0.4706,0.5083,0.482,0.011,0.0091,0.0074,0.1139
Nasus,Lucian,75,236,2.04,1.6,0.5599,0.4401,0.326,0.364,13547,19729,0 days 00:16:09,0 days 00:17:02,0.5769,0.4231,0.4941,0.4612,0.0166,0.0193,0.0043,0.0429
Pantheon,Urgot,80,6,1.9,2.17,0.5304,0.4696,0.433,0.423,16784,17611,0 days 00:17:06,0 days 00:17:42,0.4623,0.5377,0.5229,0.5006,0.0077,0.0178,0.1064,0.0019
Maokai,Irelia,57,39,2.54,1.48,0.464,0.536,0.405,0.381,15026,18430,0 days 00:16:41,0 days 00:18:08,0.5671,0.4329,0.5325,0.4577,0.0188,0.0677,0.0109,0.1462
Maokai,Rumble,57,68,2.37,2.09,0.4486,0.5514,0.383,0.422,14029,22285,0 days 00:17:49,0 days 00:18:24,0.5282,0.4718,0.5325,0.4868,0.0188,0.0289,0.0109,0.2814
Aatrox,Rumble,266,68,2.16,1.87,0.5708,0.4292,0.379,0.398,16885,19836,0 days 00:18:07,0 days 00:17:09,0.5361,0.4639,0.5033,0.4868,0.1485,0.0289,0.1015,0.2814
Tryndamere,Jayce,23,126,1.89,1.79,0.586,0.414,0.358,0.385,14853,22240,0 days 00:16:56,0 days 00:14:45,0.48,0.52,0.5069,0.4811,0.0164,0.0719,0.0044,0.0497
Cho'Gath,Wukong,31,62,2.07,2.24,0.439,0.561,0.378,0.41,16397,18265,0 days 00:17:14,0 days 00:17:01,0.5252,0.4748,0.5029,0.5155,0.01,0.0318,0.001,0.0095
Quinn,Garen,133,86,1.92,2.01,0.5463,0.4537,0.398,0.347,21790,12234,0 days 00:17:01,0 days 00:16:53,0.5442,0.4558,0.5025,0.5028,0.0091,0.0341,0.0114,0.0168
Jayce,Quinn,126,133,1.7,2.05,0.3967,0.6033,0.375,0.43,18263,19007,0 days 00:17:22,0 days 00:16:23,0.4793,0.5207,0.4811,0.5025,0.0719,0.0091,0.0497,0.0114
Fiora,Rumble,114,68,1.76,1.91,0.5279,0.4721,0.361,0.403,17201,18820,0 days 00:17:38,0 days 00:15:59,0.5358,0.4642,0.508,0.4868,0.0525,0.0289,0.0698,0.2814
Rumble,Sylas,68,517,1.84,2.02,0.4547,0.5453,0.404,0.42,18207,16863,0 days 00:17:00,0 days 00:17:26,0.4623,0.5377,0.4868,0.5016,0.0289,0.1206,0.2814,0.242
Shen,Kled,98,240,3.02,2.28,0.4447,0.5553,0.466,0.437,15509,16274,0 days 00:15:29,0 days 00:20:56,0.5229,0.4771,0.5191,0.5165,0.0775,0.0294,0.1125,0.0122
Pantheon,Illaoi,80,420,2.29,1.48,0.5214,0.4786,0.404,0.323,18413,20929,0 days 00:15:36,0 days 00:19:06,0.4419,0.5581,0.5229,0.4889,0.0077,0.0081,0.1064,0.0031
Nasus,Ryze,75,13,2.26,1.8,0.5827,0.4173,0.347,0.349,14392,22492,0 days 00:16:31,0 days 00:17:56,0.5447,0.4553,0.4941,0.4426,0.0166,0.0104,0.0043,0.0025
Fiora,Mordekaiser,114,82,1.75,1.63,0.5274,0.4726,0.35,0.329,18603,16985,0 days 00:17:41,0 days 00:16:42,0.5187,0.4813,0.508,0.4973,0.0525,0.0419,0.0698,0.0158
Tryndamere,Wukong,23,62,1.62,2.05,0.5044,0.4956,0.343,0.373,16775,18245,0 days 00:17:48,0 days 00:15:16,0.4523,0.5477,0.5069,0.5155,0.0164,0.0318,0.0044,0.0095
Fiora,Shen,114,98,1.67,2.82,0.5632,0.4368,0.361,0.442,18065,12409,0 days 00:20:22,0 days 00:15:41,0.4782,0.5218,0.508,0.5191,0.0525,0.0775,0.0698,0.1125
Yasuo,Dr. Mundo,157,36,1.71,2.4,0.492,0.508,0.375,0.38,19769,16983,0 days 00:17:02,0 days 00:16:05,0.5419,0.4581,0.482,0.4979,0.0091,0.0063,0.1139,0.0009
Heimerdinger,Rumble,74,68,1.7,2.14,0.5634,0.4366,0.352,0.387,23393,17580,0 days 00:19:15,0 days 00:16:22,0.5333,0.4667,0.5131,0.4868,0.0086,0.0289,0.0085,0.2814
Volibear,Ryze,106,13,2.38,1.56,0.6393,0.3607,0.382,0.346,14462,18774,0 days 00:17:03,0 days 00:17:52,0.5452,0.4548,0.5094,0.4426,0.0393,0.0104,0.0479,0.0025
Wukong,Heimerdinger,62,74,2.23,1.61,0.5617,0.4383,0.385,0.348,14753,23833,0 days 00:15:30,0 days 00:18:11,0.4604,0.5396,0.5155,0.5131,0.0318,0.0086,0.0095,0.0085
Dr. Mundo,Yasuo,36,157,2.4,1.71,0.508,0.492,0.38,0.375,16983,19769,0 days 00:16:05,0 days 00:17:02,0.4581,0.5419,0.4922,0.4773,0.0063,0.0091,0.0009,0.1144
Trundle,Dr. Mundo,48,36,1.88,2.08,0.5906,0.4094,0.382,0.358,17744,19366,0 days 00:16:49,0 days 00:16:13,0.4433,0.5567,0.4917,0.4922,0.0065,0.0063,0.0007,0.0009
Irelia,Sylas,39,517,1.55,1.98,0.5516,0.4484,0.374,0.408,16055,15562,0 days 00:17:05,0 days 00:15:35,0.4647,0.5353,0.4577,0.5016,0.0677,0.1206,0.1462,0.242
Nasus,Gwen,75,887,1.86,1.86,0.4327,0.5673,0.337,0.359,16550,22499,0 days 00:16:38,0 days 00:17:47,0.4946,0.5054,0.4941,0.5003,0.0166,0.0608,0.0043,0.2419
Illaoi,Ornn,420,516,1.54,2.79,0.5874,0.4126,0.332,0.396,24709,16275,0 days 00:20:11,0 days 00:15:59,0.4799,0.5201,0.4889,0.5259,0.0081,0.0432,0.0031,0.005
Mordekaiser,Malphite,82,54,1.99,2.28,0.6901,0.3099,0.36,0.368,19068,14318,0 days 00:20:06,0 days 00:16:58,0.528,0.472,0.4973,0.5058,0.0419,0.046,0.0158,0.1194
Nocturne,Garen,56,86,1.85,2.53,0.4154,0.5846,0.392,0.398,15040,17472,0 days 00:15:31,0 days 00:16:41,0.464,0.536,0.5331,0.5028,0.0142,0.0341,0.0231,0.0168
Rengar,Quinn,107,133,1.66,1.98,0.5161,0.4839,0.352,0.454,15728,20895,0 days 00:17:12,0 days 00:17:08,0.5152,0.4848,0.501,0.5025,0.0175,0.0091,0.011,0.0114
Viego,Ornn,234,516,1.63,2.89,0.3386,0.6614,0.363,0.431,18478,15359,0 days 00:17:47,0 days 00:17:28,0.4545,0.5455,0.4815,0.5259,0.0141,0.0432,0.1378,0.005
Vayne,Yorick,67,83,1.42,2.04,0.372,0.628,0.321,0.331,17132,14746,0 days 00:14:46,0 days 00:18:16,0.4647,0.5353,0.4963,0.4796,0.016,0.0053,0.0528,0.0032
Rengar,Camille,107,164,1.75,2.03,0.507,0.493,0.386,0.397,17349,18740,0 days 00:16:56,0 days 00:16:52,0.4749,0.5251,0.501,0.5,0.0175,0.0328,0.011,0.0107
Rumble,Quinn,68,133,2.09,1.76,0.5473,0.4527,0.412,0.416,18634,18486,0 days 00:17:54,0 days 00:16:40,0.5056,0.4944,0.4868,0.5025,0.0289,0.0091,0.2814,0.0114
Tryndamere,Garen,23,86,1.95,1.84,0.6011,0.3989,0.358,0.351,17841,17037,0 days 00:16:52,0 days 00:15:09,0.5353,0.4647,0.5069,0.5028,0.0164,0.0341,0.0044,0.0168
Pantheon,Kled,80,240,1.99,2.29,0.5,0.5,0.413,0.435,19285,15758,0 days 00:16:04,0 days 00:17:13,0.4917,0.5083,0.5229,0.5165,0.0077,0.0294,0.1064,0.0122
Irelia,Fiora,39,114,1.48,1.84,0.4838,0.5162,0.362,0.371,15894,17956,0 days 00:15:56,0 days 00:16:09,0.4582,0.5418,0.4577,0.508,0.0677,0.0525,0.1462,0.0698
Lee Sin,Kayle,64,10,2.42,1.7,0.6349,0.3651,0.435,0.373,18059,17102,0 days 00:17:32,0 days 00:15:45,0.5237,0.4763,0.5086,0.5077,0.0572,0.0219,0.4689,0.0035
Darius,Volibear,122,106,1.66,2.31,0.3871,0.6129,0.359,0.4,16067,16804,0 days 00:17:06,0 days 00:17:32,0.4912,0.5088,0.5073,0.5094,0.0449,0.0393,0.1331,0.0479
Nasus,Darius,75,122,1.8,1.95,0.4652,0.5348,0.327,0.359,16369,18221,0 days 00:16:28,0 days 00:17:50,0.4991,0.5009,0.4941,0.5073,0.0166,0.0449,0.0043,0.1331
Rumble,Gnar,68,150,1.93,2.22,0.4605,0.5395,0.393,0.39,18469,16964,0 days 00:16:34,0 days 00:18:14,0.4842,0.5158,0.4868,0.5,0.0289,0.0553,0.2814,0.0649
Volibear,Kalista,106,429,2.77,1.15,0.6504,0.3496,0.431,0.32,14803,18184,0 days 00:15:33,0 days 00:17:53,0.5399,0.4601,0.5094,0.4445,0.0393,0.0055,0.0479,0.0029
Pantheon,Nasus,80,75,2.18,1.74,0.502,0.498,0.423,0.35,19879,15105,0 days 00:16:34,0 days 00:18:03,0.5266,0.4734,0.5229,0.4941,0.0077,0.0166,0.1064,0.0043
Warwick,Singed,19,27,2.1,1.92,0.6768,0.3232,0.405,0.388,18105,18854,0 days 00:18:37,0 days 00:17:29,0.4375,0.5625,0.5144,0.5142,0.0116,0.0101,0.003,0.0013
Vladimir,Teemo,8,17,1.98,1.63,0.582,0.418,0.361,0.328,20093,22636,0 days 00:17:30,0 days 00:18:12,0.4856,0.5144,0.498,0.4977,0.0342,0.0139,0.0247,0.0104
Teemo,Vayne,17,67,1.7,1.48,0.532,0.468,0.344,0.332,21317,15496,0 days 00:19:05,0 days 00:15:53,0.5386,0.4614,0.4977,0.4963,0.0139,0.016,0.0104,0.0528
Lucian,Fiora,236,114,1.58,1.68,0.4769,0.5231,0.37,0.328,18061,14036,0 days 00:16:37,0 days 00:15:34,0.462,0.538,0.4612,0.508,0.0193,0.0525,0.0429,0.0698
Quinn,Wukong,133,62,1.66,2.17,0.4272,0.5728,0.392,0.395,17352,14770,0 days 00:16:18,0 days 00:18:01,0.4928,0.5072,0.5025,0.5155,0.0091,0.0318,0.0114,0.0095
Sylas,Viego,517,234,1.84,1.79,0.4932,0.5068,0.398,0.385,15603,17109,0 days 00:15:55,0 days 00:17:08,0.4719,0.5281,0.5016,0.4815,0.1206,0.0141,0.242,0.1378
Rumble,Irelia,68,39,1.85,1.77,0.4112,0.5888,0.4,0.4,17713,17923,0 days 00:15:39,0 days 00:18:07,0.471,0.529,0.4868,0.4577,0.0289,0.0677,0.2814,0.1462
Yone,Fiora,777,114,1.45,1.93,0.2974,0.7026,0.352,0.361,16920,17898,0 days 00:15:24,0 days 00:17:02,0.4788,0.5212,0.4778,0.5083,0.0071,0.0527,0.052,0.0698
Sylas,Illaoi,517,420,1.86,1.61,0.4498,0.5502,0.4,0.339,17911,22546,0 days 00:15:17,0 days 00:19:07,0.4575,0.5425,0.5016,0.4889,0.1206,0.0081,0.242,0.0031
Kayle,Yasuo,10,157,1.98,1.74,0.3946,0.6054,0.369,0.362,15396,17156,0 days 00:15:34,0 days 00:17:57,0.492,0.508,0.5077,0.482,0.0219,0.0091,0.0035,0.1139
Malphite,Akali,54,84,2.37,2.03,0.4239,0.5761,0.376,0.385,14752,17159,0 days 00:18:18,0 days 00:18:57,0.51,0.49,0.5058,0.4693,0.046,0.0659,0.1194,0.2186
Kayle,Mordekaiser,10,82,1.84,1.87,0.3239,0.6761,0.357,0.343,18495,17443,0 days 00:17:36,0 days 00:18:10,0.5349,0.4651,0.5077,0.4973,0.0219,0.0419,0.0035,0.0158
Ryze,Darius,13,122,1.63,2.26,0.338,0.662,0.343,0.373,17656,15145,0 days 00:17:08,0 days 00:17:26,0.4612,0.5388,0.4447,0.5056,0.0104,0.0448,0.0025,0.1342
Pantheon,Maokai,80,57,1.83,2.64,0.4031,0.5969,0.417,0.453,18625,15956,0 days 00:17:26,0 days 00:17:36,0.4471,0.5529,0.5229,0.5325,0.0077,0.0188,0.1064,0.0109
Viego,Gangplank,234,41,1.89,2.01,0.5094,0.4906,0.374,0.391,18588,19151,0 days 00:16:45,0 days 00:18:01,0.5217,0.4783,0.4815,0.4902,0.0141,0.0303,0.1378,0.0235
Irelia,Heimerdinger,39,74,1.72,1.45,0.5913,0.4087,0.388,0.352,17460,20974,0 days 00:17:20,0 days 00:15:58,0.5105,0.4895,0.4577,0.5131,0.0677,0.0086,0.1462,0.0085
Riven,Nocturne,92,56,1.96,2.01,0.4811,0.5189,0.383,0.416,14652,15766,0 days 00:16:20,0 days 00:16:46,0.53,0.47,0.5231,0.5331,0.04,0.0142,0.0043,0.0231
Irelia,Tryndamere,39,23,1.51,1.87,0.4468,0.5532,0.364,0.367,18128,17560,0 days 00:14:53,0 days 00:16:39,0.4528,0.5472,0.4577,0.5069,0.0677,0.0164,0.1462,0.0044
Malphite,Nasus,54,75,2.52,2.03,0.4722,0.5278,0.378,0.346,18229,16378,0 days 00:17:03,0 days 00:18:47,0.4698,0.5302,0.5058,0.4941,0.046,0.0166,0.1194,0.0043
Shen,Ornn,98,516,2.98,2.49,0.4758,0.5242,0.457,0.417,13697,14794,0 days 00:17:20,0 days 00:20:43,0.5104,0.4896,0.5191,0.5259,0.0775,0.0432,0.1125,0.005
Yone,Malphite,777,54,1.62,2.76,0.4314,0.5686,0.362,0.398,16758,14958,0 days 00:17:58,0 days 00:17:03,0.477,0.523,0.4778,0.5049,0.0071,0.0455,0.052,0.1198
Dr. Mundo,Kalista,36,429,2.74,1.25,0.6075,0.3925,0.397,0.334,15471,18681,0 days 00:15:40,0 days 00:15:42,0.5743,0.4257,0.4922,0.438,0.0063,0.0055,0.0009,0.0029
Nasus,Tryndamere,75,23,2.09,1.71,0.5154,0.4846,0.346,0.333,18067,18420,0 days 00:15:31,0 days 00:17:33,0.4971,0.5029,0.4941,0.5069,0.0166,0.0164,0.0043,0.0044
Rengar,Ornn,107,516,1.77,2.72,0.469,0.531,0.38,0.428,17030,15999,0 days 00:17:24,0 days 00:17:53,0.4726,0.5274,0.501,0.5259,0.0175,0.0432,0.011,0.005
Dr. Mundo,Aatrox,36,266,2.09,2.15,0.4674,0.5326,0.36,0.371,19366,19309,0 days 00:17:44,0 days 00:17:19,0.4853,0.5147,0.4922,0.5043,0.0063,0.1491,0.0009,0.1013
Camille,Darius,164,122,1.92,1.89,0.4667,0.5333,0.396,0.382,17455,16277,0 days 00:16:06,0 days 00:17:32,0.4884,0.5116,0.5,0.5073,0.0328,0.0449,0.0107,0.1331
Cho'Gath,Mordekaiser,31,82,1.99,2.0,0.3678,0.6322,0.363,0.372,15570,23237,0 days 00:17:22,0 days 00:18:32,0.5068,0.4932,0.5029,0.4973,0.01,0.0419,0.001,0.0158
Sett,Akali,875,84,1.85,2.04,0.4655,0.5345,0.361,0.385,16657,18172,0 days 00:18:05,0 days 00:16:06,0.5209,0.4791,0.5074,0.4693,0.1382,0.0659,0.1052,0.2186
Heimerdinger,Shen,74,98,1.57,3.36,0.613,0.387,0.356,0.436,24955,9207,0 days 00:21:41,0 days 00:14:25,0.4766,0.5234,0.5131,0.5191,0.0086,0.0775,0.0085,0.1125
Urgot,Yone,6,777,2.17,1.71,0.5801,0.4199,0.397,0.378,17879,18328,0 days 00:16:47,0 days 00:17:05,0.557,0.443,0.5006,0.4743,0.0178,0.0071,0.0019,0.0515
Mordekaiser,Yasuo,82,157,2.03,1.48,0.6237,0.3763,0.362,0.35,17045,17451,0 days 00:16:45,0 days 00:17:32,0.5289,0.4711,0.4973,0.482,0.0419,0.0091,0.0158,0.1139
Mordekaiser,Gnar,82,150,1.83,1.96,0.5924,0.4076,0.344,0.363,17958,18127,0 days 00:17:19,0 days 00:18:05,0.4973,0.5027,0.4973,0.5,0.0419,0.0553,0.0158,0.0649
Irelia,Pantheon,39,80,1.56,2.21,0.5255,0.4745,0.403,0.434,17047,18061,0 days 00:17:42,0 days 00:15:52,0.4225,0.5775,0.4577,0.5229,0.0677,0.0077,0.1462,0.1064
Yone,Yorick,777,83,1.93,1.88,0.5603,0.4397,0.369,0.324,20291,17117,0 days 00:15:27,0 days 00:17:14,0.6053,0.3947,0.4778,0.4766,0.0071,0.0054,0.052,0.0033
Malphite,Rumble,54,68,2.48,2.02,0.4446,0.5554,0.381,0.413,13054,18934,0 days 00:16:53,0 days 00:19:33,0.5235,0.4765,0.5058,0.4868,0.046,0.0289,0.1194,0.2814
Sett,Kennen,875,85,1.97,2.04,0.5477,0.4523,0.358,0.362,15095,19327,0 days 00:18:29,0 days 00:17:00,0.5213,0.4787,0.5074,0.496,0.1382,0.0274,0.1052,0.0064
Mordekaiser,Kled,82,240,1.83,2.22,0.5178,0.4822,0.368,0.421,21875,17303,0 days 00:17:02,0 days 00:17:24,0.4887,0.5113,0.4973,0.5165,0.0419,0.0294,0.0158,0.0122
Pantheon,Jayce,80,126,2.31,1.63,0.5971,0.4029,0.426,0.392,15945,17799,0 days 00:15:47,0 days 00:17:10,0.547,0.453,0.5229,0.4811,0.0077,0.0719,0.1064,0.0497
Heimerdinger,Dr. Mundo,74,36,1.86,2.24,0.5359,0.4641,0.342,0.348,26563,14860,0 days 00:17:29,0 days 00:16:25,0.541,0.459,0.5131,0.4979,0.0086,0.0063,0.0085,0.0009
Sett,Sion,875,14,1.92,2.33,0.5661,0.4339,0.389,0.411,20853,16885,0 days 00:18:23,0 days 00:16:41,0.4915,0.5085,0.5074,0.5135,0.1382,0.0301,0.1052,0.0051
Nocturne,Urgot,56,6,1.99,1.97,0.5131,0.4869,0.395,0.397,14627,16997,0 days 00:16:16,0 days 00:16:10,0.5033,0.4967,0.5331,0.5006,0.0142,0.0178,0.0231,0.0019
Cho'Gath,Heimerdinger,31,74,2.31,1.61,0.5298,0.4702,0.35,0.337,13710,27753,0 days 00:16:13,0 days 00:19:10,0.5246,0.4754,0.5029,0.5131,0.01,0.0086,0.001,0.0085
Malphite,Renekton,54,58,2.45,1.96,0.4883,0.5117,0.398,0.377,16123,14217,0 days 00:15:45,0 days 00:18:57,0.5249,0.4751,0.5058,0.4912,0.046,0.088,0.1194,0.1333
Maokai,Gwen,57,887,2.03,2.02,0.3437,0.6563,0.377,0.403,14871,23099,0 days 00:16:05,0 days 00:19:13,0.4762,0.5238,0.5325,0.5003,0.0188,0.0608,0.0109,0.2419
Kennen,Fiora,85,114,1.98,1.65,0.4617,0.5383,0.364,0.331,17465,15228,0 days 00:16:36,0 days 00:18:18,0.5135,0.4865,0.496,0.508,0.0274,0.0525,0.0064,0.0698
Kayle,Ornn,10,516,1.75,2.82,0.3998,0.6002,0.356,0.405,18836,13257,0 days 00:17:53,0 days 00:17:29,0.4796,0.5204,0.5077,0.5259,0.0219,0.0432,0.0035,0.005
